"Papers","Author","Areas","ORCID","Name_Variants"
"1","Jason L. Brown","accounting","0000-0002-4238-9427","Jason L. Brown"
"1","Patrick R. Martin","accounting","","Patrick R. Martin"
"1","Geoffrey B. Sprinkle","accounting","","Geoffrey B. Sprinkle"
"1","Dan Way","accounting","0000-0002-2178-3513","Dan Way"
"1","Jeffrey Hemmeter","behavioral economics and decision analysis","","Jeffrey Hemmeter"
"1","Robert D. Metcalfe","behavioral economics and decision analysis","","Robert D. Metcalfe"
"1","Robert Weathers","behavioral economics and decision analysis","","Robert Weathers"
"1","Andreas Krause","behavioral economics and decision analysis","0000-0001-7260-9673","Andreas Krause"
"1","Qinshen Tang","data science","0000-0002-9742-6563","Qinshen Tang"
"1","Xufeng Yang","operations management","0000-0001-5943-9630","Xufeng Yang"
"1","Juliang Zhang","operations management","0000-0001-9834-6349","Juliang Zhang"
"1","Wen Jiao","operations management","0000-0003-1288-9823","Wen Jiao"
"1","Hong Yan","operations management","0000-0002-0699-5470","Hong Yan"
"1","Wenhui Zhou","operations management","0000-0002-5078-9041","Wenhui Zhou"
"1","Weixiang Huang","operations management","0000-0002-4627-888X","Weixiang Huang"
"1","Soledad Giardili","operations management","0000-0001-5769-403X","Soledad Giardili"
"1","Puping (Phil) Jiang","operations management","","Puping (Phil) Jiang"
"1","Monika Pompeo","behavioral economics and decision analysis","0000-0002-1502-6057","Monika Pompeo"
"1","Nina Serdarevic","behavioral economics and decision analysis","0000-0003-3683-873X","Nina Serdarevic"
"1","Saeede Eftekhari","information systems","0000-0001-9818-612X","Saeede Eftekhari"
"1","Ram Ramesh","information systems","0000-0002-6232-1841","Ram Ramesh"
"1","Jiyong Park","information systems","0000-0003-4444-7261","Jiyong Park"
"1","Kunsoo Han","information systems","0000-0002-5203-4654","Kunsoo Han"
"1","Byungtae Lee","information systems","","Byungtae Lee"
"1","Thomas W. Frick","information systems","0000-0002-4456-9093","Thomas W. Frick"
"1","Patrick Rey","business strategy","0000-0002-4141-2728","Patrick Rey"
"1","Ran Spiegler","business strategy","0000-0001-9662-0236","Ran Spiegler"
"1","Hans Christian Kongsted","organizations","0000-0003-1364-6970","Hans Christian Kongsted"
"1","Jens Hagendorff","finance","0000-0002-3567-7826","Jens Hagendorff"
"1","Sonya Lim","finance","0000-0001-8029-1810","Sonya Lim"
"1","Duc Duy Nguyen","finance","0000-0001-6660-5545","Duc Duy Nguyen"
"1","Zhan Shi","finance","0000-0002-9151-372X","Zhan Shi"
"1","Elisabeth Kempf","finance","0000-0001-8350-4957","Elisabeth Kempf"
"1","Oliver Spalt","finance","0000-0003-4036-9884","Oliver Spalt"
"1","Charles Martineau","finance","0000-0002-6896-184X","Charles Martineau"
"1","Fenghua Song","finance","0000-0002-1043-1248","Fenghua Song"
"1","Sompong Pornupatham","accounting","0000-0002-0008-6268","Sompong Pornupatham"
"1","Thanyaluk Vichitsarawong","accounting","0000-0003-4787-9094","Thanyaluk Vichitsarawong"
"1","Robert Stoumbos","","0000-0002-8205-9932","Robert Stoumbos"
"1","Jost Adler","marketing","0000-0002-9303-2890","Jost Adler"
"1","Anke Becker","behavioral economics and decision analysis","0000-0003-0838-7644","Anke Becker"
"1","Alexander Donges","finance","0000-0001-8069-939X","Alexander Donges"
"1","Jean-Marie Meier","finance","0000-0002-8176-8403","Jean-Marie Meier"
"1","Daniel Brown","operations management","","Daniel Brown"
"1","James Chu","operations management","","James Chu"
"1","Ellen A. Eisen","operations management","","Ellen A. Eisen"
"1","Sungmin Rho","operations management","","Sungmin Rho"
"1","Tamar Cohen-Hillel","optimization","0000-0003-0313-3186","Tamar Cohen-Hillel"
"1","Ariel Neufeld","optimization","0000-0001-5500-5245","Ariel Neufeld"
"1","Antonis Papapantoleon","optimization","0000-0002-9504-2822","Antonis Papapantoleon"
"1","Qikun Xiang","optimization","0000-0002-6149-162X","Qikun Xiang"
"1","Chen-An Lin","stochastic models and simulation","0000-0001-6520-474X","Chen-An Lin"
"1","Martina Fischetti","optimization","","Martina Fischetti"
"1","Quanquan Liu","data science","","Quanquan Liu"
"1","Thomas Mariotti","behavioral economics and decision analysis","0000-0002-0525-8743","Thomas Mariotti"
"1","Jonas von Wangenheim","behavioral economics and decision analysis","0000-0002-2830-9961","Jonas von Wangenheim"
"1","Gregor Schwarz","behavioral economics and decision analysis","0000-0002-3249-4127","Gregor Schwarz"
"1","Joyce Guo","behavioral economics and decision analysis","","Joyce Guo"
"1","María P. Recalde","behavioral economics and decision analysis","0000-0001-7127-1607","María P. Recalde"
"1","Zeyang Chen","behavioral economics and decision analysis","0000-0001-9767-6071","Zeyang Chen"
"1","Zeng Wang","behavioral economics and decision analysis","","Zeng Wang"
"1","Battal Doğan","behavioral economics and decision analysis","0000-0002-5904-0942","Battal Doğan"
"1","Kemal Yildiz","behavioral economics and decision analysis","0000-0003-4352-3197","Kemal Yildiz"
"1","Qiaochu Wang","information systems","0000-0001-7779-6148","Qiaochu Wang"
"1","Kejia Yang","marketing","0000-0002-8121-0186","Kejia Yang"
"1","Jonathan Z. Zhang","marketing","0000-0002-9559-0626","Jonathan Z. Zhang"
"1","Robert W. Palmatier","marketing","","Robert W. Palmatier"
"1","Gorkem Bostanci","marketing","0000-0001-5484-1081","Gorkem Bostanci"
"1","Tobias Dieler","finance","0000-0001-7086-8153","Tobias Dieler"
"1","Sonny Biswas","finance","0000-0003-3124-5070","Sonny Biswas"
"1","Alexei V. Ovtchinnikov","finance","0000-0001-8093-7271","Alexei V. Ovtchinnikov"
"1","Daniel Urban","finance","0000-0003-4621-5456","Daniel Urban"
"1","Sang Hu","finance","0000-0002-0637-1895","Sang Hu"
"1","Jan Obłój","finance","0000-0002-5686-5498","Jan Obłój"
"1","Lorens A. Imhof","accounting","","Lorens A. Imhof"
"1","H. Mete Soner","finance","0000-0002-0824-1808","H. Mete Soner"
"1","Edgar Rodriguez-Vazquez","accounting","0000-0002-3792-8318","Edgar Rodriguez-Vazquez"
"1","Diana Bonfim","finance","","Diana Bonfim"
"1","Ganesh-Babu B. Subburaman","healthcare management","0000-0002-4882-4290","Ganesh-Babu B. Subburaman"
"1","Thulasiraj Ravilla","healthcare management","0000-0002-1935-7443","Thulasiraj Ravilla"
"1","Lior Metzker","finance","","Lior Metzker"
"1","Minkyu Shin","marketing","","Minkyu Shin"
"1","Rosa Ferrer","marketing","0000-0001-7912-7802","Rosa Ferrer"
"1","Helena Perrone","marketing","0000-0001-9388-1561","Helena Perrone"
"1","Fotios Petropoulos","behavioral economics and decision analysis","0000-0003-3039-4955","Fotios Petropoulos"
"1","Yanwei Jia","behavioral economics and decision analysis","0000-0002-6089-9842","Yanwei Jia"
"1","Vincent Meisner","behavioral economics and decision analysis","0000-0002-5260-1831","Vincent Meisner"
"1","Huaiping Yuan","behavioral economics and decision analysis","","Huaiping Yuan"
"1","Carsten Erner","behavioral economics and decision analysis","0000-0002-3059-3746","Carsten Erner"
"1","Sanjeev Goyal","behavioral economics and decision analysis","","Sanjeev Goyal"
"1","Frederic Moisan","behavioral economics and decision analysis","0000-0003-1522-0463","Frederic Moisan"
"1","Yu Yang Tony To","behavioral economics and decision analysis","0000-0002-8613-3052","Yu Yang Tony To"
"1","Reza Ahmadi","optimization","0000-0001-7474-6102","Reza Ahmadi"
"1","Shubham Gupta","operations management","0000-0002-0600-813X","Shubham Gupta"
"1","Ram Mudambi","operations management","0000-0002-5396-5602","Ram Mudambi"
"1","Wei Chen","operations management","0000-0001-6902-7103","Wei Chen"
"1","Shi-Ying Lim","entrepreneurship and innovation","0000-0002-3258-0463","Shi-Ying Lim"
"1","Raina Brands","organizations","0000-0001-5465-8383","Raina Brands"
"1","Gillian Ku","organizations","","Gillian Ku"
"1","Jason D. Kotter","finance","0000-0003-0370-4815","Jason D. Kotter"
"1","Yannick Hoga","finance","0000-0002-6332-5561","Yannick Hoga"
"1","Matei Demetrescu","finance","0000-0003-0815-5384","Matei Demetrescu"
"1","Ilya Dergunov","finance","","Ilya Dergunov"
"1","Christoph Meinerding","finance","0000-0002-1136-573X","Christoph Meinerding"
"1","Jan Starmans","finance","0000-0003-4583-9515","Jan Starmans"
"1","Liang Qian","finance","","Liang Qian"
"1","Mary Brooke Billings","finance","0000-0001-7898-2612","Mary Brooke Billings"
"1","Kevin Hsueh","finance","0000-0001-9554-7532","Kevin Hsueh"
"1","Melissa F. Lewis-Western","finance","0000-0002-9769-0719","Melissa F. Lewis-Western"
"1","Gladriel Shobe","finance","0000-0001-6137-5058","Gladriel Shobe"
"1","Novia (Xi) Chen","accounting","0000-0003-3123-016X","Novia (Xi) Chen"
"1","Jiani Wang","accounting","0000-0002-1888-6837","Jiani Wang"
"1","Jee-Eun Shin","accounting","0000-0002-1089-9588","Jee-Eun Shin"
"1","Mehdi Beyhaghi","accounting","0000-0002-1846-8619","Mehdi Beyhaghi"
"1","Pooyan Khashabi","accounting","0000-0001-9554-0277","Pooyan Khashabi"
"1","Ali Mohammadi","accounting","0000-0001-9348-7505","Ali Mohammadi"
"1","Ulrike Malmendier","finance","0000-0002-2786-4365","Ulrike Malmendier"
"1","Vincenzo Pezone","finance","0000-0002-1652-4891","Vincenzo Pezone"
"1","Hui Zheng","finance","","Hui Zheng"
"1","Gautam Gowrisankaran","operations management","0000-0001-8549-959X","Gautam Gowrisankaran"
"1","Keith Joiner","operations management","","Keith Joiner"
"1","Pierre Thomas Léger","operations management","","Pierre Thomas Léger"
"1","Ebrahim Barzegary","marketing","0000-0002-7268-8778","Ebrahim Barzegary"
"1","Abhishek Pani","marketing","","Abhishek Pani"
"1","Kevin Crotty","finance","0000-0002-5435-6112","Kevin Crotty"
"1","Kemin Wang","finance","0009-0007-5503-4864","Kemin Wang"
"1","Yue Liu","marketing","","Yue Liu"
"1","Rong Luo","marketing","0000-0003-4542-3157","Rong Luo"
"1","Bas J. Dietzenbacher","behavioral economics and decision analysis","0000-0002-8023-0273","Bas J. Dietzenbacher"
"1","Aleksei Y. Kondratev","behavioral economics and decision analysis","0000-0002-8424-8198","Aleksei Y. Kondratev"
"1","Chloe Tergiman","behavioral economics and decision analysis","","Chloe Tergiman"
"1","José De Sousa","behavioral economics and decision analysis","0000-0001-8130-2331","José De Sousa"
"1","Guillaume Hollard","behavioral economics and decision analysis","","Guillaume Hollard"
"1","Christine Laudenbach","behavioral economics and decision analysis","0000-0002-2452-5683","Christine Laudenbach"
"1","Michael Ungeheuer","behavioral economics and decision analysis","0000-0002-8921-6507","Michael Ungeheuer"
"1","Ye Chen","stochastic models and simulation","","Ye Chen"
"1","Marta Boczoń","operations management","0000-0003-4267-2561","Marta Boczoń"
"1","Alistair J. Wilson","operations management","0000-0001-8118-2376","Alistair J. Wilson"
"1","Matthew J. Walker","operations management","0000-0002-3863-0564","Matthew J. Walker"
"1","Martin Forster","health","0000-0001-8598-9062","Martin Forster"
"1","Buket Avcı","operations management","","Buket Avcı"
"1","Luis Vasconcelos","business strategy","0000-0002-2952-5674","Luis Vasconcelos"
"1","Ngo Van Long","marketing","","Ngo Van Long"
"1","Ga Young Ko","information systems","0000-0002-5877-4004","Ga Young Ko"
"1","Donghyuk Shin","information systems","0000-0001-8687-0258","Donghyuk Shin"
"1","Seigyoung Auh","information systems","0000-0001-7473-5403","Seigyoung Auh"
"1","Yeonjung Lee","information systems","0000-0003-4048-1841","Yeonjung Lee"
"1","Shuang Jin","finance","0000-0003-0769-2778","Shuang Jin"
"1","Kyle Hampton","finance","","Kyle Hampton"
"1","Erik O. Kimbrough","finance","0000-0002-6495-0430","Erik O. Kimbrough"
"1","Pauline Lam","accounting","0000-0002-6757-2885","Pauline Lam"
"1","Iavor Bojinov","big data analytics","0000-0002-3470-8539","Iavor Bojinov"
"1","Jerry Anunrojwong","revenue management and market analytics","0000-0001-8422-9539","Jerry Anunrojwong"
"1","Joshua Wang","data science","","Joshua Wang"
"1","Fransisca Susan","data science","","Fransisca Susan"
"1","Ashwinkumar Badanidiyuru","data science","","Ashwinkumar Badanidiyuru"
"1","Ingrid M. Werner","finance","","Ingrid M. Werner"
"1","Barbara Rindi","finance","0000-0002-8511-081X","Barbara Rindi"
"1","Sabrina Buti","finance","","Sabrina Buti"
"1","Yuanji Wen","finance","","Yuanji Wen"
"1","Shuping Shi","finance","0000-0001-8571-3066","Shuping Shi"
"1","Jun Yu","finance","0000-0003-2360-5873","Jun Yu"
"1","Kenju Kamei","behavioral economics and decision analysis","0000-0002-7905-8584","Kenju Kamei"
"1","Thomas Markussen","behavioral economics and decision analysis","0000-0002-9731-4107","Thomas Markussen"
"1","Heiner Schumacher","behavioral economics and decision analysis","0000-0002-2259-6728","Heiner Schumacher"
"1","Probal Mojumder","information systems","0000-0003-0564-3745","Probal Mojumder"
"1","Yejia Xu","information systems","0000-0003-0541-6673","Yejia Xu"
"1","Xiaoping Liu","information systems","","Xiaoping Liu"
"1","Weihua Zhang","optimization","0000-0003-2173-8509","Weihua Zhang"
"1","Billy Jin","revenue management and market analytics","0000-0002-6362-2048","Billy Jin"
"1","David P. Williamson","revenue management and market analytics","0000-0002-2884-0058","David P. Williamson"
"1","Nitish Korula","revenue management and market analytics","","Nitish Korula"
"1","Balasubramanian Sivan","revenue management and market analytics","","Balasubramanian Sivan"
"1","Mark J. Flannery","finance","0000-0003-2546-6598","Mark J. Flannery"
"1","Baolian Wang","finance","0000-0003-3980-9993","Baolian Wang"
"1","Danmo Lin","finance","0000-0002-9990-0222","Danmo Lin"
"1","Felipe Cortes","finance","0000-0003-1017-4613","Felipe Cortes"
"1","Tung Nguyen","finance","","Tung Nguyen"
"1","Dimitris Petmezas","finance","0000-0002-0038-2163","Dimitris Petmezas"
"1","Nikolaos Karampatsas","finance","","Nikolaos Karampatsas"
"1","Xinlong Li","marketing","0000-0002-8451-7300","Xinlong Li"
"1","Deniz Okat","finance","0000-0002-3027-1149","Deniz Okat"
"1","Ellapulli V. Vasudevan","finance","0000-0003-4294-255X","Ellapulli V. Vasudevan"
"1","David Tsui","accounting","0000-0003-1149-9698","David Tsui"
"1","Reining C. Petacchi","accounting","0000-0002-7469-9753","Reining C. Petacchi"
"1","Anne Beyer","accounting","0000-0003-2915-4321","Anne Beyer"
"1","Christine Cuny","accounting","0000-0002-6366-8900","Christine Cuny"
"1","Hao Xue","accounting","0000-0002-0307-8183","Hao Xue"
"1","Luca Benzoni","finance","","Luca Benzoni"
"1","Robert Goldstein","finance","","Robert Goldstein"
"1","Daniel G. Neely","accounting","0000-0002-7984-9765","Daniel G. Neely"
"1","Gregory D. Saxton","accounting","0000-0002-8079-0588","Gregory D. Saxton"
"1","Paul A. Wong","accounting","0000-0001-5635-1174","Paul A. Wong"
"1","Lily Fang","entrepreneurship and innovation","0000-0003-1673-7368","Lily Fang"
"1","Chaopeng Wu","entrepreneurship and innovation","0000-0002-2298-5950","Chaopeng Wu"
"1","Qi Zhang","entrepreneurship and innovation","0000-0002-0673-0421","Qi Zhang"
"1","Michael Goldstein","finance","0000-0001-9044-9431","Michael Goldstein"
"1","Amy Kwan","finance","0000-0002-7480-1279","Amy Kwan"
"1","Richard Philip","finance","","Richard Philip"
"1","Hayri A. Arslan","revenue management and market analytics","0000-0002-2359-7773","Hayri A. Arslan"
"1","Övünç Yılmaz","revenue management and market analytics","0000-0002-0746-353X","Övünç Yılmaz"
"1","Yuetao Gao","marketing","0000-0002-9047-5039","Yuetao Gao"
"1","Jungju Yu","marketing","0000-0002-7817-2203","Jungju Yu"
"1","Brendan Lucier","revenue management and market analytics","","Brendan Lucier"
"1","Alexander Wei","revenue management and market analytics","0000-0002-4295-5361","Alexander Wei"
"1","Dong Li","operations management","0000-0002-7515-4405","Dong Li"
"1","Nishant Mishra","operations management","0000-0001-8205-6857","Nishant Mishra"
"1","Luxi Shen","behavioral economics and decision analysis","0000-0002-6538-8881","Luxi Shen"
"1","Silke J. Forbes","business strategy","0000-0002-1704-3926","Silke J. Forbes"
"1","Hua Fang Liu","business strategy","0000-0002-5297-569X","Hua Fang Liu"
"1","Bulat Gainullin","business strategy","","Bulat Gainullin"
"1","Delphine Samuels","accounting","0000-0002-9867-936X","Delphine Samuels"
"1","Brian Bratten","accounting","0000-0003-3314-5866","Brian Bratten"
"1","Teri Lombardi Yohn","accounting","0000-0002-9714-2050","Teri Lombardi Yohn"
"1","David Weinbaum","finance","0000-0002-8776-7890","David Weinbaum"
"1","Andrew Fodor","finance","","Andrew Fodor"
"1","Martin Holmén","finance","0000-0002-6788-0802","Martin Holmén"
"1","Siu Kai Choy","finance","0000-0002-7349-6479","Siu Kai Choy"
"1","Jason Wei","finance","0000-0002-4426-4572","Jason Wei"
"1","Kevin Koharki","accounting","0000-0002-1538-6386","Kevin Koharki"
"1","Pepa Kraft","accounting","0000-0001-9648-4158","Pepa Kraft"
"1","Anywhere Sikochi","accounting","0000-0001-9012-0222","Anywhere Sikochi"
"1","Kevin Mullally","finance","0000-0003-2479-6560","Kevin Mullally"
"1","Nick Guest","accounting","0000-0003-2187-034X","Nick Guest"
"1","Ji-Woong Chung","finance","","Ji-Woong Chung"
"1","Byoung Uk Kang","finance","0000-0001-9147-863X","Byoung Uk Kang"
"1","Yu Huang","finance","","Yu Huang"
"1","Hao Xing","finance","0000-0002-6995-2486","Hao Xing"
"1","Olga Kuzmina","finance","0000-0001-8538-7512","Olga Kuzmina"
"1","Yongdong Liu","marketing","0000-0002-9534-5487","Yongdong Liu"
"1","Ibrahim Abada","revenue management and market analytics","0000-0003-1386-5866","Ibrahim Abada"
"1","Xavier Lambin","revenue management and market analytics","0000-0002-4664-726X","Xavier Lambin"
"1","Salvatore Nunnari","behavioral economics and decision analysis","0000-0002-1525-798X","Salvatore Nunnari"
"1","Chen Chen","finance","0000-0003-4438-1258","Chen Chen"
"1","Bo Ning","finance","","Bo Ning"
"1","Yue Pan","finance","","Yue Pan"
"1","Zhiyu Zeng","operations management","0000-0003-0002-876X","Zhiyu Zeng"
"1","Hanwei Li","jayashankar, operations management","0000-0002-1236-1597","Hanwei Li"
"1","Yuefeng Li","operations management","0000-0002-4522-6252","Yuefeng Li"
"1","Moutaz J. Khouja","operations management","0000-0002-5601-6947","Moutaz J. Khouja"
"1","Jingming Pan","operations management","0000-0001-5982-0706","Jingming Pan"
"1","Jing Zhou","operations management","0000-0001-8611-0064","Jing Zhou"
"1","Wendy Olsder","operations management","0000-0001-7317-7884","Wendy Olsder"
"1","Tugce Martagan","operations management","0000-0002-4396-7102","Tugce Martagan"
"1","Maarten C. W. Janssen","revenue management and market analytics","0000-0002-0965-2369","Maarten C. W. Janssen"
"1","Radostina Shopova","revenue management and market analytics","0000-0002-1868-4792","Radostina Shopova"
"1","Quentin Gallea","healthcare management","0000-0002-8924-2211","Quentin Gallea"
"1","Dimitrija Kalanoski","healthcare management","0000-0003-4369-6629","Dimitrija Kalanoski"
"1","Wei Ai","behavioral economics and decision analysis","0000-0001-6271-9430","Wei Ai"
"1","Qiaozhu Mei","behavioral economics and decision analysis","0000-0002-8640-1942","Qiaozhu Mei"
"1","Jieping Ye","behavioral economics and decision analysis","0000-0001-8662-5818","Jieping Ye"
"1","Lingyu Zhang","behavioral economics and decision analysis","0000-0002-4651-7991","Lingyu Zhang"
"1","Steffen Künn","behavioral economics and decision analysis","","Steffen Künn"
"1","Juan Palacios","behavioral economics and decision analysis","0000-0003-4234-5114","Juan Palacios"
"1","Nico Pestel","behavioral economics and decision analysis","0000-0003-0062-9514","Nico Pestel"
"1","Elif Incekara-Hafalir","behavioral economics and decision analysis","0000-0003-3961-0124","Elif Incekara-Hafalir"
"1","Grace H. Y. Lee","behavioral economics and decision analysis","0000-0002-5989-6513","Grace H. Y. Lee"
"1","Audrey K. L. Siah","behavioral economics and decision analysis","0000-0003-4093-4505","Audrey K. L. Siah"
"1","Rahul Bhui","behavioral economics and decision analysis","0000-0002-6303-8837","Rahul Bhui"
"1","Ron N. Bar","marketing","0000-0001-6125-4977","Ron N. Bar"
"1","Wen Wang","information systems","0000-0001-5983-3224","Wen Wang"
"1","Xiaoyi Wang","information systems","","Xiaoyi Wang"
"1","David Maslach","organizations","0000-0002-0631-3695","David Maslach"
"1","Marcella Hastings","finance","","Marcella Hastings"
"1","Ai He","finance","","Ai He"
"1","Jiaen Li","finance","","Jiaen Li"
"1","Alexandre Jeanneret","finance","0000-0003-4628-1955","Alexandre Jeanneret"
"1","Zhixiong Zeng","finance","0000-0001-9803-8418","Zhixiong Zeng"
"1","Yi Jin","finance","0000-0003-4244-8885","Yi Jin"
"1","Sattar A. Mansi","accounting","0000-0001-7098-7996","Sattar A. Mansi"
"1","Hyo Jin Yoon","accounting","0000-0001-7159-9688","Hyo Jin Yoon"
"1","Eli Bartov","accounting","0000-0002-2542-3566","Eli Bartov"
"1","Tae Wook Kim","accounting","0000-0002-8138-7993","Tae Wook Kim"
"1","Suil Pae","accounting","0000-0003-3114-0236","Suil Pae"
"1","Mahdi Mahmoudzadeh","operations management","0000-0003-0701-3165","Mahdi Mahmoudzadeh"
"1","Samuel G. Goldberg","marketing","0000-0003-0887-5496","Samuel G. Goldberg"
"1","Nian Si","data science","0000-0002-4730-543X","Nian Si"
"1","Fan Zhang","data science","","Fan Zhang"
"1","Rachel Li","accounting","0000-0002-0189-0733","Rachel Li"
"1","Matthias Fahn","behavioral economics and decision analysis","0000-0002-4677-172X","Matthias Fahn"
"1","Achraf Bahamou","revenue management and market analytics","0000-0002-8448-6612","Achraf Bahamou"
"1","Ilan Morgenstern","revenue management and market analytics","0000-0001-9635-8928","Ilan Morgenstern"
"1","Willem van Jaarsveld","operations management","0000-0003-3620-4067","Willem van Jaarsveld"
"1","Guanlian Xiao","operations management","0000-0003-3904-0096","Guanlian Xiao"
"1","Josh C. D’Aeth","optimization","0000-0002-9636-9886","Josh C. D’Aeth"
"1","Shubhechyya Ghosal","optimization","0000-0001-6566-1334","Shubhechyya Ghosal"
"1","Fiona Grimm","optimization","0000-0001-5249-619X","Fiona Grimm"
"1","David Haw","optimization","0000-0002-9228-0542","David Haw"
"1","Krystal Lau","optimization","0000-0002-3295-3979","Krystal Lau"
"1","Huikang Liu","optimization","0000-0002-0348-9345","Huikang Liu"
"1","Stefano Moret","optimization","0000-0001-7716-3084","Stefano Moret"
"1","Dheeya Rizmie","optimization","0000-0002-2664-9161","Dheeya Rizmie"
"1","Peter C. Smith","optimization","0000-0003-0058-7588","Peter C. Smith"
"1","Giovanni Forchini","optimization","0000-0002-1377-9469","Giovanni Forchini"
"1","Temidayo Adepoju","healthcare management","0000-0002-1858-4740","Temidayo Adepoju"
"1","Helen S. Jin","healthcare management","","Helen S. Jin"
"1","Christopher S. Manasseh","healthcare management","","Christopher S. Manasseh"
"1","Matt Baucum","healthcare management","0000-0002-2699-167X","Matt Baucum"
"1","Rama Vasudevan","healthcare management","0000-0003-4692-8579","Rama Vasudevan"
"1","Ritesh Ramdhani","healthcare management","","Ritesh Ramdhani"
"1","Gökhan Ceyhan","optimization","0000-0002-5393-4427","Gökhan Ceyhan"
"1","Banu Lokman","optimization","0000-0002-6664-9430","Banu Lokman"
"1","Tal Avinadav","operations management","0000-0002-7519-2946","Tal Avinadav"
"1","Yifu Li","operations management","0000-0002-0040-1205","Yifu Li"
"1","Michael Benborhoum","operations management","","Michael Benborhoum"
"1","Zekun Liu","marketing","0000-0003-4660-9041","Zekun Liu"
"1","Weiqing Zhang","marketing","0000-0001-7016-3161","Weiqing Zhang"
"1","Baile Lu","entrepreneurship and innovation","0000-0003-3074-8418","Baile Lu"
"1","Orhan Aygün","behavioral economics and decision analysis","0000-0003-0132-3429","Orhan Aygün"
"1","Bertan Turhan","behavioral economics and decision analysis","0000-0003-3083-579X","Bertan Turhan"
"1","Matthias Seifert","behavioral economics and decision analysis","0000-0002-7649-0814","Matthias Seifert"
"1","Sreyaa Guha","behavioral economics and decision analysis","0000-0002-9675-7192","Sreyaa Guha"
"1","Brian McManus","business strategy","0000-0001-6151-8282","Brian McManus"
"1","Dany Bahar","business strategy","0000-0002-4028-3039","Dany Bahar"
"1","Do Yoon Kim","business strategy","0000-0001-5097-504X","Do Yoon Kim"
"1","Wesley W. Koo","business strategy","0000-0003-4246-9977","Wesley W. Koo"
"1","Song Zhang","finance","0000-0003-0960-2035","Song Zhang"
"1","Fabio Braggion","finance","0000-0002-5918-417X","Fabio Braggion"
"1","Dahui Li","finance","","Dahui Li"
"1","Qian Cao","finance","","Qian Cao"
"1","Frederico Belo","finance","0000-0001-5028-9787","Frederico Belo"
"1","Jun Li","finance","0000-0003-1472-6761","Jun Li"
"1","Xiaoji Lin","finance","","Xiaoji Lin"
"1","Fabian Wöbbeking","finance","0000-0003-0287-6092","Fabian Wöbbeking"
"1","James Chyz","accounting","","James Chyz"
"1","Erin Henry","accounting","0000-0002-8068-0549","Erin Henry"
"1","Chishen Wei","accounting","0000-0002-1112-5138","Chishen Wei"
"1","Lei Zhang","accounting","0000-0002-9967-1896","Lei Zhang"
"1","Xi Li","special section of management science : blockchains and crypto economics","0000-0003-1034-4539","Xi Li"
"1","Rodney J. Garratt","special section of management science : blockchains and crypto economics","0000-0002-2667-2556","Rodney J. Garratt"
"1","Maarten R. C. van Oordt","special section of management science : blockchains and crypto economics","0000-0002-9830-287X","Maarten R. C. van Oordt"
"1","Soumya Basu","special section of management science : blockchains and crypto economics","","Soumya Basu"
"1","David Easley","special section of management science : blockchains and crypto economics","0000-0002-6405-4134","David Easley"
"1","Emin Gün Sirer","special section of management science : blockchains and crypto economics","","Emin Gün Sirer"
"1","Brett H. Falk","special section of management science : blockchains and crypto economics","","Brett H. Falk"
"1","Shuting Sophia Hu","special section of management science : blockchains and crypto economics","","Shuting Sophia Hu"
"1","Joanna Wang","special section of management science : blockchains and crypto economics","0000-0003-3292-151X","Joanna Wang"
"1","Qinxi Wu","special section of management science : blockchains and crypto economics","0000-0001-8061-6355","Qinxi Wu"
"1","Katya Malinova","special section of management science : blockchains and crypto economics","0000-0001-7264-8744","Katya Malinova"
"1","Tetiana Davydiuk","special section of management science : blockchains and crypto economics","","Tetiana Davydiuk"
"1","Kirill Shakhnov","special section of management science : blockchains and crypto economics","0000-0003-2585-8217","Kirill Shakhnov"
"1","Luana Zaccaria","special section of management science : blockchains and crypto economics","0000-0003-2959-0481","Luana Zaccaria"
"1","Valerie Laturnus","special section of management science : blockchains and crypto economics","","Valerie Laturnus"
"1","Michael Sockin","special section of management science : blockchains and crypto economics","","Michael Sockin"
"1","Wei Xiong","special section of management science : blockchains and crypto economics","0000-0003-3592-9373","Wei Xiong"
"1","Jonathan Chiu","special section of management science : blockchains and crypto economics","0000-0002-3276-5927","Jonathan Chiu"
"1","Seyed Mohammadreza Davoodalhosseini","special section of management science : blockchains and crypto economics","0000-0002-6813-1088","Seyed Mohammadreza Davoodalhosseini"
"1","Alexey Rubtsov","special section of management science : blockchains and crypto economics","0000-0003-0033-0045","Alexey Rubtsov"
"1","Donghwa Shin","special section of management science : blockchains and crypto economics","0000-0003-0775-9426","Donghwa Shin"
"1","Jun Pei","operations management","0000-0002-0585-4553","Jun Pei"
"1","Ping Yan","operations management","0000-0002-9630-6228","Ping Yan"
"1","Rachitesh Kumar","revenue management and market analytics","0000-0001-7803-6861","Rachitesh Kumar"
"1","Wei Qi","optimization","0000-0003-3948-835X","Wei Qi"
"1","Yuli Zhang","optimization","0000-0002-9382-6308","Yuli Zhang"
"1","Ningwei Zhang","optimization","0000-0003-3465-1322","Ningwei Zhang"
"1","Wei Zhang","optimization","0000-0002-1405-9551","Wei Zhang"
"1","Kai Wang","optimization","0000-0002-3040-0422","Kai Wang"
"1","Shuaian Wang","optimization","0000-0001-9247-4403","Shuaian Wang"
"1","Daniel Russo","data science","0000-0001-5926-8624","Daniel Russo"
