"Papers","Author","Areas","ORCID","Name_Variants"
"9","Chrysanthos Dellarocas","information systems","","Chrysanthos Dellarocas"
"9","Charles J. Corbett","operations management","0000-0003-1814-3977","Charles J. Corbett; Charles Corbett"
"9","Stefanos A. Zenios","operations management, optimization","","Stefanos A. Zenios"
"9","Gustavo Vulcano","operations management, revenue management and market analytics","0000-0003-0083-4737","Gustavo Vulcano; Gustavo J. Vulcano"
"9","Ravi Bapna","information systems","0000-0002-5251-7218","Ravi Bapna"
"9","Gary E. Bolton","behavioral economics, behavioral economics and decision analysis, decision analysis, judgment and decision making","0000-0001-6393-9478","Gary E. Bolton; Gary Bolton"
"9","Kartik Hosanagar","information systems","0000-0002-6442-9434","Kartik Hosanagar"
"9","Saif Benjaafar","operations management, optimization, stochastic models and simulation","0000-0002-1949-0105","Saif Benjaafar"
"9","Axel Ockenfels","behavioral economics, decision analysis, special section of management science: 65th anniversary","0000-0003-1456-0191","Axel Ockenfels"
"9","Seyed M. R. Iravani","operations management, stochastic models and simulation","","Seyed M. R. Iravani; Seyed Iravani; Seyed M. Iravani"
"9","Ritu Agarwal","entrepreneurship and innovation, information systems","0000-0002-8907-5652","Ritu Agarwal"
"9","Jiri Chod","finance, operations management","0000-0001-5283-710X","Jiri Chod"
"9","Anita L. Tucker","healthcare management, operations management","0000-0001-9765-7372","Anita L. Tucker; Anita L. Carson"
"9","Enno Siemsen","behavioral economics and decision analysis, operations management, r&amp;d and product development","0000-0003-2033-3833","Enno Siemsen"
"9","Joshua S. Gans","business strategy, entrepreneurship and innovation, finance, special section of management science: 65th anniversary","0000-0001-6567-5859","Joshua S. Gans; Joshua Gans"
"9","Wenqiang Xiao","entrepreneurship and innovation, operations management","0000-0001-9168-3051","Wenqiang Xiao"
"9","Matthias Sutter","behavioral economics, behavioral economics and decision analysis, decision analysis, teck ho, and terrance odean, special issue editors","0000-0002-6143-8706","Matthias Sutter"
"9","Zhi Da","finance","0000-0003-2815-1516","Zhi Da"
"9","Ilan Lobel","data science, operations management, optimization, revenue management and market analytics, special section of management science: 65th anniversary, stochastic models and simulation","0000-0002-5396-8117","Ilan Lobel"
"9","S. Alex Yang","operations management","0000-0002-1238-1539","S. Alex Yang"
"9","Yiangos Papanastasiou","operations management","0000-0003-4134-1074","Yiangos Papanastasiou"
"9","Vahideh Manshadi","data science, market design, platform, and demand analytics, revenue management and market analytics","0000-0001-9103-7797","Vahideh Manshadi"
"8","C. West Churchman","","","C. West Churchman"
"8","Morton Klein","","","Morton Klein"
"8","Murray A. Geisler","","","Murray A. Geisler"
"8","Gerald L. Thompson","","","Gerald L. Thompson"
"8","Thomas H. Naylor","","","Thomas H. Naylor"
"8","R. Jagannathan","","","R. Jagannathan"
"8","Bruce L. Miller","","","Bruce L. Miller"
"8","David P. Rutenberg","","","David P. Rutenberg"
"8","Jack P. C. Kleijnen","","","Jack P. C. Kleijnen"
"8","Richard C. Morey","","","Richard C. Morey"
"8","William E. Souder","","","William E. Souder"
"8","Richard C. Larson","","","Richard C. Larson"
"8","James H. Patterson","","","James H. Patterson"
"8","Bezalel Gavish","","","Bezalel Gavish"
"8","Prafulla Joglekar","","","Prafulla Joglekar; Prafulla N. Joglekar"
"8","John R. Hauser","special issue on business analytics","","John R. Hauser"
"8","Paolo Toth","","","Paolo Toth"
"8","A. Federgruen","","","A. Federgruen"
"8","Spyros Makridakis","","","Spyros Makridakis"
