"Papers","Affiliation","Areas"
"19","D’Amore-McKim School of Business, Northeastern University, Boston, Massachusetts 02115","accounting, business strategy, entrepreneurship and innovation, finance, information systems, marketing, organizations, special section of management science on business and climate change"
"18","State University of New York at Buffalo",""
"18","Virginia Polytechnic Institute","accounting"
"18","Department of Marketing","information systems, judgment and decision making, marketing, operations management, organizations, special issue editors"
"18","Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","behavioral economics, behavioral economics and decision analysis, business strategy, information systems, marketing, optimization, stochastic models and simulation"
"18","School of Business, University of Connecticut, Storrs, Connecticut 06269","accounting, business strategy, decision analysis, finance, information systems, marketing, operations management"
"17","University of Georgia",""
"17","University of Toronto",""
"17","State University",""
"17","University of North Carolina",""
"17","Columbia University, New York, New York 10027","accounting, business strategy, data science, finance, marketing, revenue management and market analytics, stochastic models and simulation"
"17","Department of Mathematics","decision analysis, finance, optimization, stochastic models and simulation"
"17","Operations Research, University of California, Berkeley, California 94720","data science, optimization, revenue management and market analytics"
"17","Faculty of Industrial Engineering","stochastic models and simulation"
"17","Operations Engineering, University of Michigan, Ann Arbor, Michigan 48109","big data analytics, operations management, optimization, stochastic models and simulation"
"17","Industrial","big data analytics, data science, operations management, optimization, revenue management and market analytics, special issue on business analytics, stochastic models and simulation"
"17","Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104","accounting, big data analytics, business strategy, data science, entrepreneurship and innovation, finance, information systems, operations management, organizations, special section of management science on business and climate change"
"17","Saïd Business School, University of Oxford, Oxford OX1 1HP, United Kingdom","accounting, behavioral economics and decision analysis, business strategy, decision analysis, entrepreneurship and innovation, finance, operations management, organizations"
"17","UCLA Anderson School of Management, University of California, Los Angeles, Los Angeles, California 90095","accounting, behavioral economics, entrepreneurship and innovation, finance, marketing, operations management"
"17","Nanyang Business School, Nanyang Technological University, Singapore 639798","accounting, decision analysis, finance, information systems, marketing, operations management"
"17","Guanghua School of Management, Peking University, Beijing 100871, China","accounting, behavioral economics and decision analysis, business strategy, finance, marketing, operations management, organizations"
"17","Economics, The University of Hong Kong, Hong Kong","accounting, finance, marketing, operations management, stochastic models and simulation"
"17","Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139","big data analytics, data science, jayashankar, operations management, judgment and decision making, management science special section on data-driven prescriptive analytics, market design, platform, and demand analytics, marketing, revenue management and market analytics"
"17","Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, Texas 75080","data science, decision analysis, healthcare management, information systems, marketing, operations management, revenue management and market analytics, special issue on the human-algorithm connection, stochastic models and simulation"
"16","Pennsylvania State University",""
"16","Information","data science, information systems, special issue on the human-algorithm connection, stochastic models and simulation"
"16","Industrial Engineering","behavioral economics and decision analysis, finance, optimization, revenue management and analytics, revenue management and market analytics, stochastic models and simulation"
"16","Department of Civil","big data analytics, data science, marketing, operations management, revenue management and market analytics"
"16","Economics, University of Kentucky, Lexington, Kentucky 40506","finance, focused issue editor, information systems, marketing, operations management, revenue management and market analytics, special issue editors"
"16","Eller College of Management, University of Arizona, Tucson, Arizona 85721","accounting, business strategy, finance, information systems, organizations"
"16","Eli Broad College of Business, Michigan State University, East Lansing, Michigan 48824","accounting, business strategy, finance, healthcare management, operations management, organizations"
"16","School of Management, Fudan University, Shanghai 200433, China","behavioral economics, business strategy, finance, marketing, operations and supply chain management, operations management, optimization"
"16","European Corporate Governance Institute, 1000 Brussels, Belgium","accounting, finance, special section of management science : blockchains and crypto economics"
"15","Case Institute of Technology",""
"15","University of Southern California",""
"15","Graduate School of Business, Stanford University, Stanford, California 94305-5015",""
"15","Joseph M. Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, Pennsylvania 15260","accounting, finance, information systems"
"15","Department of Mechanical","management science special section on data-driven prescriptive analytics, operations management, optimization"
"15","Public Policy, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","entrepreneurship and innovation, finance, information systems, marketing, operations management, optimization and decision analytics"
"15","Yale School of Management, Yale University, New Haven, Connecticut 06520","accounting, finance, marketing, operations management, organizations, revenue management and market analytics"
"15","Gatton College of Business","finance, focused issue editor, information systems, marketing, operations management, revenue management and market analytics, special issue editors"
"15","INSEAD, Singapore 138676","behavioral economics, business strategy, decision analysis, entrepreneurship and innovation, finance, operations management, organizations, special issue on business analytics"
